Jakarta Utara
16, 3, 18, 2,
18, 2, 28, 7,
28, 7, 38, 8,
38, 8, 46, 11,
46, 11, 51, 10,
51, 10, 56, 15,
56, 15, 70, 15,
70, 15, 82, 6,
82, 6, 94, 8,
94, 8, 98, 8,
98, 8, 100, 6,
100, 6, 110, 4,
110, 4, 114, 4,
114, 4, 116, 2,
116, 2, 124, 0,
124, 0, 124, 30,
124, 30, 116, 30,
116, 30, 114, 32,
114, 32, 112, 31,
112, 31, 108, 34,
108, 34, 104, 34,
104, 34, 103, 30,
103, 30, 99, 30,
99, 30, 101, 33,
101, 33, 101, 39,
101, 39, 94, 40,
94, 40, 82, 35,
82, 35, 64, 29,
64, 29, 58, 24,
58, 24, 55, 22,
55, 22, 54, 20,
54, 20, 52, 20,
52, 20, 50, 22,
50, 22, 50, 24,
50, 24, 38, 24,
38, 24, 38, 22,
38, 22, 28, 18,
28, 18, 20, 12,
20, 12, 16, 6,
16,	6, 16, 3,
